doc_number,token,freq,max_freq,n,N,log_factor,poids
2,tasks,1,1,5,6,0.3424226808222063,0.3424226808222063
2,technique,1,1,2,6,0.6020599913279624,0.6020599913279624
2,template,1,1,2,6,0.6020599913279624,0.6020599913279624
2,trec,1,1,1,6,0.8450980400142568,0.8450980400142568
2,tuned,1,1,1,6,0.8450980400142568,0.8450980400142568
2,ul2,1,1,1,6,0.8450980400142568,0.8450980400142568
2,understand,1,1,3,6,0.47712125471966244,0.47712125471966244
2,used,1,1,3,6,0.47712125471966244,0.47712125471966244
2,using,1,1,5,6,0.3424226808222063,0.3424226808222063
2,variants,1,1,1,6,0.8450980400142568,0.8450980400142568
2,x,1,1,1,6,0.8450980400142568,0.8450980400142568
3,address,1,1,1,6,0.8450980400142568,0.8450980400142568
3,allow,1,1,2,6,0.6020599913279624,0.6020599913279624
3,also,1,1,2,6,0.6020599913279624,0.6020599913279624
3,although,1,1,1,6,0.8450980400142568,0.8450980400142568
3,approach,1,1,4,6,0.3979400086720376,0.3979400086720376
3,attempt,1,1,1,6,0.8450980400142568,0.8450980400142568
3,based,1,1,6,6,0.3010299956639812,0.3010299956639812
3,bridge,1,1,1,6,0.8450980400142568,0.8450980400142568
3,capability,1,1,1,6,0.8450980400142568,0.8450980400142568
3,community,1,1,1,6,0.8450980400142568,0.8450980400142568
3,contain,1,1,1,6,0.8450980400142568,0.8450980400142568
3,continuous,1,1,1,6,0.8450980400142568,0.8450980400142568
3,could,1,1,1,6,0.8450980400142568,0.8450980400142568
3,datasets,1,1,3,6,0.47712125471966244,0.47712125471966244
3,demonstrate,1,1,2,6,0.6020599913279624,0.6020599913279624
3,design,1,1,1,6,0.8450980400142568,0.8450980400142568
3,discrete,1,1,1,6,0.8450980400142568,0.8450980400142568
3,distill,1,1,1,6,0.8450980400142568,0.8450980400142568
3,distillation,1,1,1,6,0.8450980400142568,0.8450980400142568
3,e,1,1,1,6,0.8450980400142568,0.8450980400142568
3,effectiveness,1,1,2,6,0.6020599913279624,0.6020599913279624
3,efficiency,1,1,2,6,0.6020599913279624,0.6020599913279624
3,efficient,1,1,1,6,0.8450980400142568,0.8450980400142568
3,enough,1,1,1,6,0.8450980400142568,0.8450980400142568
3,experimental,1,1,1,6,0.8450980400142568,0.8450980400142568
3,extensive,1,1,1,6,0.8450980400142568,0.8450980400142568
3,filled,1,1,1,6,0.8450980400142568,0.8450980400142568
3,finding,1,1,1,6,0.8450980400142568,0.8450980400142568
3,fine,1,1,3,6,0.47712125471966244,0.47712125471966244
3,g,1,1,1,6,0.8450980400142568,0.8450980400142568
3,given,1,1,2,6,0.6020599913279624,0.6020599913279624
3,ids,1,1,1,6,0.8450980400142568,0.8450980400142568
3,immediate,1,1,1,6,0.8450980400142568,0.8450980400142568
3,improve,1,1,4,6,0.3979400086720376,0.3979400086720376
3,improved,1,1,1,6,0.8450980400142568,0.8450980400142568
3,improvement,1,1,1,6,0.8450980400142568,0.8450980400142568
3,inference,1,1,1,6,0.8450980400142568,0.8450980400142568
3,information,1,1,3,6,0.47712125471966244,0.47712125471966244
3,input,1,1,3,6,0.47712125471966244,0.47712125471966244
3,inspire,1,1,1,6,0.8450980400142568,0.8450980400142568
3,item,1,1,2,6,0.6020599913279624,0.6020599913279624
3,language,1,1,6,6,0.3010299956639812,0.3010299956639812
3,large,1,1,6,6,0.3010299956639812,0.3010299956639812
3,limited,1,1,2,6,0.6020599913279624,0.6020599913279624
3,llm,1,1,5,6,0.3424226808222063,0.3424226808222063
3,long,1,1,1,6,0.8450980400142568,0.8450980400142568
3,manifested,1,1,1,6,0.8450980400142568,0.8450980400142568
3,may,1,1,1,6,0.8450980400142568,0.8450980400142568
3,modeling,1,1,2,6,0.6020599913279624,0.6020599913279624
3,models,1,1,6,6,0.3010299956639812,0.3010299956639812
3,mostly,1,1,1,6,0.8450980400142568,0.8450980400142568
3,multi,1,1,1,6,0.8450980400142568,0.8450980400142568
3,n,1,1,1,6,0.8450980400142568,0.8450980400142568
3,need,1,1,2,6,0.6020599913279624,0.6020599913279624
3,noisy,1,1,1,6,0.8450980400142568,0.8450980400142568
3,plain,1,1,1,6,0.8450980400142568,0.8450980400142568
3,pod,1,1,1,6,0.8450980400142568,0.8450980400142568
3,power,1,1,3,6,0.47712125471966244,0.47712125471966244
3,problems,1,1,1,6,0.8450980400142568,0.8450980400142568
3,process,1,1,4,6,0.3979400086720376,0.3979400086720376
3,prompt,1,1,5,6,0.3424226808222063,0.3424226808222063
3,propose,1,1,5,6,0.3424226808222063,0.3424226808222063
3,real,1,1,1,6,0.8450980400142568,0.8450980400142568
3,reasoning,1,1,1,6,0.8450980400142568,0.8450980400142568
3,recommendation,1,1,2,6,0.6020599913279624,0.6020599913279624
3,recommender,1,1,1,6,0.8450980400142568,0.8450980400142568
3,reduce,1,1,2,6,0.6020599913279624,0.6020599913279624
3,require,1,1,1,6,0.8450980400142568,0.8450980400142568
3,researchers,1,1,2,6,0.6020599913279624,0.6020599913279624
