Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
(ir),1,8,6,1,0.8450980400142568,0.1056372550017821
(llms),1,8,6,2,0.6020599913279624,0.0752574989159953
(qerm),1,8,6,1,0.8450980400142568,0.1056372550017821
12%,1,8,6,1,0.8450980400142568,0.1056372550017821
achiev,1,8,6,3,0.47712125471966244,0.059640156839957804
adapt,2,8,6,1,0.8450980400142568,0.2112745100035642
adv,1,8,6,2,0.6020599913279624,0.0752574989159953
aggreg,1,8,6,1,0.8450980400142568,0.1056372550017821
aim,1,8,6,2,0.6020599913279624,0.0752574989159953
autom,1,8,6,1,0.8450980400142568,0.1056372550017821
bas,1,8,6,3,0.47712125471966244,0.059640156839957804
beir,1,8,6,2,0.6020599913279624,0.0752574989159953
benchmark,1,8,6,3,0.47712125471966244,0.059640156839957804
boost,1,8,6,1,0.8450980400142568,0.1056372550017821
capt,2,8,6,3,0.47712125471966244,0.11928031367991561
clust,2,8,6,1,0.8450980400142568,0.2112745100035642
combin,1,8,6,2,0.6020599913279624,0.0752574989159953
complet,1,8,6,1,0.8450980400142568,0.1056372550017821
constrain,1,8,6,1,0.8450980400142568,0.1056372550017821
cruc,1,8,6,1,0.8450980400142568,0.1056372550017821
custom,1,8,6,1,0.8450980400142568,0.1056372550017821
demonst,1,8,6,3,0.47712125471966244,0.059640156839957804
"differentiated,",1,8,6,1,0.8450980400142568,0.1056372550017821
distinct,1,8,6,1,0.8450980400142568,0.1056372550017821
divers,4,8,6,1,0.8450980400142568,0.4225490200071284
effect,1,8,6,3,0.47712125471966244,0.059640156839957804
empir,1,8,6,1,0.8450980400142568,0.1056372550017821
enh,1,8,6,2,0.6020599913279624,0.0752574989159953
evalu,1,8,6,3,0.47712125471966244,0.059640156839957804
"expansions,",1,8,6,1,0.8450980400142568,0.1056372550017821
expery,1,8,6,3,0.47712125471966244,0.059640156839957804
expl,1,8,6,2,0.6020599913279624,0.0752574989159953
feedback,1,8,6,2,0.6020599913279624,0.0752574989159953
field,1,8,6,1,0.8450980400142568,0.1056372550017821
first,1,8,6,3,0.47712125471966244,0.059640156839957804
framework,2,8,6,1,0.8450980400142568,0.2112745100035642
"furthermore,",1,8,6,2,0.6020599913279624,0.0752574989159953
gen,3,8,6,4,0.3979400086720376,0.14922750325201412
gencrf,2,8,6,1,0.8450980400142568,0.2112745100035642
gencrf:,1,8,6,1,0.8450980400142568,0.1056372550017821
group,1,8,6,1,0.8450980400142568,0.1056372550017821
improv,1,8,6,4,0.3979400086720376,0.0497425010840047
inform,2,8,6,3,0.47712125471966244,0.11928031367991561
init,1,8,6,1,0.8450980400142568,0.1056372550017821
innov,1,8,6,1,0.8450980400142568,0.1056372550017821
input,1,8,6,3,0.47712125471966244,0.059640156839957804
int,2,8,6,2,0.6020599913279624,0.1505149978319906
integr,1,8,6,2,0.6020599913279624,0.0752574989159953
intents.,2,8,6,1,0.8450980400142568,0.2112745100035642
langu,1,8,6,6,0.3010299956639812,0.03762874945799765
larg,1,8,6,6,0.3010299956639812,0.03762874945799765
lev,2,8,6,3,0.47712125471966244,0.11928031367991561
limit,1,8,6,2,0.6020599913279624,0.0752574989159953
llms,1,8,6,4,0.3979400086720376,0.0497425010840047
