Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
1m,1,8,6,1,0.8450980400142568,0.1056372550017821
alpaca,2,8,6,1,0.8450980400142568,0.2112745100035642
author,1,8,6,1,0.8450980400142568,0.1056372550017821
base,1,8,6,6,0.3010299956639812,0.03762874945799765
book,1,8,6,1,0.8450980400142568,0.1056372550017821
captiv,1,8,6,1,0.8450980400142568,0.1056372550017821
cast,1,8,6,1,0.8450980400142568,0.1056372550017821
combin,1,8,6,2,0.6020599913279624,0.0752574989159953
compar,2,8,6,1,0.8450980400142568,0.2112745100035642
compris,1,8,6,1,0.8450980400142568,0.1056372550017821
concis,1,8,6,1,0.8450980400142568,0.1056372550017821
conduct,1,8,6,1,0.8450980400142568,0.1056372550017821
consid,1,8,6,1,0.8450980400142568,0.1056372550017821
consist,1,8,6,1,0.8450980400142568,0.1056372550017821
consum,1,8,6,1,0.8450980400142568,0.1056372550017821
data,1,8,6,1,0.8450980400142568,0.1056372550017821
dataset,5,8,6,4,0.3979400086720376,0.2487125054200235
demonstr,1,8,6,3,0.47712125471966244,0.059640156839957804
descript,8,8,6,1,0.8450980400142568,0.8450980400142568
detail,2,8,6,1,0.8450980400142568,0.2112745100035642
director,1,8,6,1,0.8450980400142568,0.1056372550017821
emerg,1,8,6,1,0.8450980400142568,0.1056372550017821
essenti,1,8,6,1,0.8450980400142568,0.1056372550017821
evalu,1,8,6,3,0.47712125471966244,0.059640156839957804
exhibit,1,8,6,1,0.8450980400142568,0.1056372550017821
explor,1,8,6,2,0.6020599913279624,0.0752574989159953
featur,1,8,6,1,0.8450980400142568,0.1056372550017821
gener,4,8,6,4,0.3979400086720376,0.1989700043360188
goodread,2,8,6,1,0.8450980400142568,0.2112745100035642
gpt-3.5,1,8,6,1,0.8450980400142568,0.1056372550017821
hit,1,8,6,1,0.8450980400142568,0.1056372550017821
inconsist,1,8,6,1,0.8450980400142568,0.1056372550017821
inform,1,8,6,4,0.3979400086720376,0.0497425010840047
item,2,8,6,2,0.6020599913279624,0.1505149978319906
languag,2,8,6,6,0.3010299956639812,0.0752574989159953
larg,1,8,6,6,0.3010299956639812,0.03762874945799765
like,2,8,6,1,0.8450980400142568,0.2112745100035642
llm,5,8,6,5,0.3424226808222063,0.2140141755138789
manual,1,8,6,1,0.8450980400142568,0.1056372550017821
metric,1,8,6,2,0.6020599913279624,0.0752574989159953
ml,1,8,6,1,0.8450980400142568,0.1056372550017821
model,1,8,6,6,0.3010299956639812,0.03762874945799765
movi,3,8,6,1,0.8450980400142568,0.3169117650053463
movielen,1,8,6,1,0.8450980400142568,0.1056372550017821
mrr,1,8,6,2,0.6020599913279624,0.0752574989159953
multipl,1,8,6,3,0.47712125471966244,0.059640156839957804
name,3,8,6,1,0.8450980400142568,0.3169117650053463
natur,1,8,6,2,0.6020599913279624,0.0752574989159953
ndcg,1,8,6,4,0.3979400086720376,0.0497425010840047
obtain,2,8,6,1,0.8450980400142568,0.2112745100035642
one,1,8,6,1,0.8450980400142568,0.1056372550017821
open,2,8,6,2,0.6020599913279624,0.1505149978319906
paper,1,8,6,4,0.3979400086720376,0.0497425010840047
pivot,1,8,6,1,0.8450980400142568,0.1056372550017821
play,1,8,6,1,0.8450980400142568,0.1056372550017821
potenti,1,8,6,2,0.6020599913279624,0.0752574989159953
power,1,8,6,3,0.47712125471966244,0.059640156839957804
process,1,8,6,4,0.3979400086720376,0.0497425010840047
promis,1,8,6,2,0.6020599913279624,0.0752574989159953
prompt,2,8,6,5,0.3424226808222063,0.08560567020555157
provid,1,8,6,1,0.8450980400142568,0.1056372550017821
publish,1,8,6,1,0.8450980400142568,0.1056372550017821
recent,1,8,6,4,0.3979400086720376,0.0497425010840047
recommend,1,8,6,2,0.6020599913279624,0.0752574989159953
result,2,8,6,4,0.3979400086720376,0.0994850021680094
role,1,8,6,1,0.8450980400142568,0.1056372550017821
scrape,3,8,6,1,0.8450980400142568,0.3169117650053463
shot,1,8,6,2,0.6020599913279624,0.0752574989159953
signific,1,8,6,1,0.8450980400142568,0.1056372550017821
sourc,2,8,6,2,0.6020599913279624,0.1505149978319906
studi,1,8,6,1,0.8450980400142568,0.1056372550017821
subsequ,1,8,6,1,0.8450980400142568,0.1056372550017821
summari,1,8,6,1,0.8450980400142568,0.1056372550017821
suscept,1,8,6,1,0.8450980400142568,0.1056372550017821
system,1,8,6,2,0.6020599913279624,0.0752574989159953
task,1,8,6,5,0.3424226808222063,0.042802835102775785
techniqu,1,8,6,4,0.3979400086720376,0.0497425010840047
time,1,8,6,3,0.47712125471966244,0.059640156839957804
titl,1,8,6,1,0.8450980400142568,0.1056372550017821
tool,1,8,6,1,0.8450980400142568,0.1056372550017821
top,1,8,6,2,0.6020599913279624,0.0752574989159953
tradit,1,8,6,2,0.6020599913279624,0.0752574989159953
use,3,8,6,5,0.3424226808222063,0.12840850530832737
viewer,1,8,6,1,0.8450980400142568,0.1056372550017821
web,2,8,6,1,0.8450980400142568,0.2112745100035642
year,1,8,6,1,0.8450980400142568,0.1056372550017821
