Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
larg,1,9,6,6,0.3010299956639812,0.03344777729599791
lev,2,9,6,3,0.47712125471966244,0.1060269454932583
limit,1,9,6,2,0.6020599913279624,0.06689555459199582
llms,3,9,6,4,0.3979400086720376,0.13264666955734586
loop,1,9,6,1,0.8450980400142568,0.09389978222380631
method,1,9,6,2,0.6020599913279624,0.06689555459199582
mod,1,9,6,2,0.6020599913279624,0.06689555459199582
model,2,9,6,6,0.3010299956639812,0.06689555459199582
multipl,1,9,6,3,0.47712125471966244,0.05301347274662915
ndcg,1,9,6,4,0.3979400086720376,0.04421555651911529
novel,1,9,6,2,0.6020599913279624,0.06689555459199582
oft,1,9,6,1,0.8450980400142568,0.09389978222380631
optim,1,9,6,1,0.8450980400142568,0.09389978222380631
pap,1,9,6,4,0.3979400086720376,0.04421555651911529
perform,3,9,6,3,0.47712125471966244,0.15904041823988746
phas,1,9,6,1,0.8450980400142568,0.09389978222380631
pot,1,9,6,2,0.6020599913279624,0.06689555459199582
prevy,1,9,6,3,0.47712125471966244,0.05301347274662915
problem,1,9,6,3,0.47712125471966244,0.05301347274662915
process,1,9,6,4,0.3979400086720376,0.04421555651911529
prompt,1,9,6,5,0.3424226808222063,0.0380469645358007
propos,1,9,6,5,0.3424226808222063,0.0380469645358007
qerm,1,9,6,1,0.8450980400142568,0.09389978222380631
query,9,9,6,4,0.3979400086720376,0.3979400086720376
rat,1,9,6,1,0.8450980400142568,0.09389978222380631
rec,1,9,6,4,0.3979400086720376,0.04421555651911529
redund,1,9,6,1,0.8450980400142568,0.09389978222380631
refin,1,9,6,1,0.8450980400142568,0.09389978222380631
reform,4,9,6,2,0.6020599913279624,0.2675822183679833
repres,1,9,6,2,0.6020599913279624,0.06689555459199582
retriev,5,9,6,2,0.6020599913279624,0.3344777729599791
reward,1,9,6,1,0.8450980400142568,0.09389978222380631
search,1,9,6,3,0.47712125471966244,0.05301347274662915
sign,1,9,6,4,0.3979400086720376,0.04421555651911529
singl,1,9,6,1,0.8450980400142568,0.09389978222380631
sota,1,9,6,1,0.8450980400142568,0.09389978222380631
stat,1,9,6,3,0.47712125471966244,0.05301347274662915
strategies,1,9,6,3,0.47712125471966244,0.05301347274662915
success,1,9,6,2,0.6020599913279624,0.06689555459199582
surpass,1,9,6,1,0.8450980400142568,0.09389978222380631
techn,1,9,6,4,0.3979400086720376,0.04421555651911529
tim,1,9,6,3,0.47712125471966244,0.05301347274662915
us,2,9,6,6,0.3010299956639812,0.06689555459199582
vary,2,9,6,4,0.3979400086720376,0.08843111303823058
weight,1,9,6,1,0.8450980400142568,0.09389978222380631
wel,2,9,6,1,0.8450980400142568,0.18779956444761262
