Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
1m,1,5,6,1,0.8450980400142568,0.16901960800285137
alpaca,2,5,6,1,0.8450980400142568,0.33803921600570275
author,1,5,6,1,0.8450980400142568,0.16901960800285137
based,1,5,6,6,0.3010299956639812,0.06020599913279624
books,1,5,6,1,0.8450980400142568,0.16901960800285137
captivate,1,5,6,1,0.8450980400142568,0.16901960800285137
cast,1,5,6,1,0.8450980400142568,0.16901960800285137
combination,1,5,6,1,0.8450980400142568,0.16901960800285137
comparable,1,5,6,1,0.8450980400142568,0.16901960800285137
compared,1,5,6,1,0.8450980400142568,0.16901960800285137
comprising,1,5,6,1,0.8450980400142568,0.16901960800285137
concise,1,5,6,1,0.8450980400142568,0.16901960800285137
conduct,1,5,6,1,0.8450980400142568,0.16901960800285137
considering,1,5,6,1,0.8450980400142568,0.16901960800285137
consisting,1,5,6,1,0.8450980400142568,0.16901960800285137
consuming,1,5,6,1,0.8450980400142568,0.16901960800285137
data,1,5,6,1,0.8450980400142568,0.16901960800285137
dataset,5,5,6,1,0.8450980400142568,0.8450980400142568
demonstrated,1,5,6,1,0.8450980400142568,0.16901960800285137
description,3,5,6,1,0.8450980400142568,0.5070588240085541
descriptions,5,5,6,1,0.8450980400142568,0.8450980400142568
detailed,2,5,6,1,0.8450980400142568,0.33803921600570275
directors,1,5,6,1,0.8450980400142568,0.16901960800285137
emerged,1,5,6,1,0.8450980400142568,0.16901960800285137
essential,1,5,6,1,0.8450980400142568,0.16901960800285137
evaluation,1,5,6,2,0.6020599913279624,0.12041199826559248
exhibits,1,5,6,1,0.8450980400142568,0.16901960800285137
explored,1,5,6,1,0.8450980400142568,0.16901960800285137
features,1,5,6,1,0.8450980400142568,0.16901960800285137
generate,2,5,6,3,0.47712125471966244,0.19084850188786498
generated,1,5,6,2,0.6020599913279624,0.12041199826559248
generation,1,5,6,2,0.6020599913279624,0.12041199826559248
goodreads,2,5,6,1,0.8450980400142568,0.33803921600570275
gpt-3.5,1,5,6,1,0.8450980400142568,0.16901960800285137
hits,1,5,6,1,0.8450980400142568,0.16901960800285137
inconsistencies,1,5,6,1,0.8450980400142568,0.16901960800285137
informative,1,5,6,1,0.8450980400142568,0.16901960800285137
item,1,5,6,2,0.6020599913279624,0.12041199826559248
items,1,5,6,1,0.8450980400142568,0.16901960800285137
language,2,5,6,6,0.3010299956639812,0.12041199826559248
large,1,5,6,6,0.3010299956639812,0.06020599913279624
like,2,5,6,1,0.8450980400142568,0.33803921600570275
llm,2,5,6,4,0.3979400086720376,0.15917600346881505
llms,3,5,6,4,0.3979400086720376,0.23876400520322255
manual,1,5,6,1,0.8450980400142568,0.16901960800285137
metrics,1,5,6,2,0.6020599913279624,0.12041199826559248
ml,1,5,6,1,0.8450980400142568,0.16901960800285137
models,1,5,6,6,0.3010299956639812,0.06020599913279624
movie,3,5,6,1,0.8450980400142568,0.5070588240085541
movielens,1,5,6,1,0.8450980400142568,0.16901960800285137
mrr,1,5,6,2,0.6020599913279624,0.12041199826559248
multiple,1,5,6,3,0.47712125471966244,0.09542425094393249
names,3,5,6,1,0.8450980400142568,0.5070588240085541
natural,1,5,6,2,0.6020599913279624,0.12041199826559248
ndcg,1,5,6,4,0.3979400086720376,0.07958800173440753
obtained,2,5,6,1,0.8450980400142568,0.33803921600570275
ones,1,5,6,1,0.8450980400142568,0.16901960800285137
open,2,5,6,2,0.6020599913279624,0.24082399653118497
paper,1,5,6,4,0.3979400086720376,0.07958800173440753
pivotal,1,5,6,1,0.8450980400142568,0.16901960800285137
plays,1,5,6,1,0.8450980400142568,0.16901960800285137
potential,1,5,6,1,0.8450980400142568,0.16901960800285137
powerful,1,5,6,1,0.8450980400142568,0.16901960800285137
processing,1,5,6,1,0.8450980400142568,0.16901960800285137
promise,1,5,6,1,0.8450980400142568,0.16901960800285137
prompted,1,5,6,1,0.8450980400142568,0.16901960800285137
prompting,1,5,6,3,0.47712125471966244,0.09542425094393249
providing,1,5,6,1,0.8450980400142568,0.16901960800285137
publisher,1,5,6,1,0.8450980400142568,0.16901960800285137
recent,1,5,6,3,0.47712125471966244,0.09542425094393249
recommendation,1,5,6,2,0.6020599913279624,0.12041199826559248
results,2,5,6,4,0.3979400086720376,0.15917600346881505
role,1,5,6,1,0.8450980400142568,0.16901960800285137
scraped,2,5,6,1,0.8450980400142568,0.33803921600570275
scraping,1,5,6,1,0.8450980400142568,0.16901960800285137
shot,1,5,6,2,0.6020599913279624,0.12041199826559248
significant,1,5,6,1,0.8450980400142568,0.16901960800285137
source,1,5,6,1,0.8450980400142568,0.16901960800285137
sourced,1,5,6,2,0.6020599913279624,0.12041199826559248
study,1,5,6,1,0.8450980400142568,0.16901960800285137
subsequently,1,5,6,1,0.8450980400142568,0.16901960800285137
summaries,1,5,6,1,0.8450980400142568,0.16901960800285137
susceptible,1,5,6,1,0.8450980400142568,0.16901960800285137
systems,1,5,6,2,0.6020599913279624,0.12041199826559248
tasks,1,5,6,5,0.3424226808222063,0.06848453616444126
techniques,1,5,6,3,0.47712125471966244,0.09542425094393249
time,1,5,6,3,0.47712125471966244,0.09542425094393249
titles,1,5,6,1,0.8450980400142568,0.16901960800285137
tools,1,5,6,1,0.8450980400142568,0.16901960800285137
top,1,5,6,2,0.6020599913279624,0.12041199826559248
traditionally,1,5,6,1,0.8450980400142568,0.16901960800285137
use,1,5,6,2,0.6020599913279624,0.12041199826559248
used,1,5,6,3,0.47712125471966244,0.09542425094393249
using,1,5,6,5,0.3424226808222063,0.06848453616444126
viewers,1,5,6,1,0.8450980400142568,0.16901960800285137
web,2,5,6,1,0.8450980400142568,0.33803921600570275
years,1,5,6,1,0.8450980400142568,0.16901960800285137
