Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
session,3,4,6,1,0.7781512503836436,0.5836134377877327
search,2,4,6,3,0.3010299956639812,0.1505149978319906
involv,1,4,6,1,0.7781512503836436,0.1945378125959109
seri,1,4,6,1,0.7781512503836436,0.1945378125959109
interact,2,4,6,1,0.7781512503836436,0.3890756251918218
queri,1,4,6,4,0.17609125905568124,0.04402281476392031
action,1,4,6,1,0.7781512503836436,0.1945378125959109
fulfil,1,4,6,1,0.7781512503836436,0.1945378125959109
user',1,4,6,2,0.47712125471966244,0.11928031367991561
complex,1,4,6,2,0.47712125471966244,0.11928031367991561
inform,2,4,6,3,0.3010299956639812,0.1505149978319906
need.,1,4,6,1,0.7781512503836436,0.1945378125959109
current,1,4,6,1,0.7781512503836436,0.1945378125959109
strategi,2,4,6,4,0.17609125905568124,0.08804562952784062
typic,1,4,6,1,0.7781512503836436,0.1945378125959109
priorit,1,4,6,1,0.7781512503836436,0.1945378125959109
sequenti,1,4,6,2,0.47712125471966244,0.11928031367991561
model,2,4,6,5,0.07918124604762482,0.03959062302381241
deep,1,4,6,1,0.7781512503836436,0.1945378125959109
semant,2,4,6,1,0.7781512503836436,0.3890756251918218
"understanding,",1,4,6,1,0.7781512503836436,0.1945378125959109
overlook,1,4,6,1,0.7781512503836436,0.1945378125959109
graph,4,4,6,1,0.7781512503836436,0.7781512503836436
structur,3,4,6,1,0.7781512503836436,0.5836134377877327
interactions.,1,4,6,1,0.7781512503836436,0.1945378125959109
while,1,4,6,1,0.7781512503836436,0.1945378125959109
approach,2,4,6,4,0.17609125905568124,0.08804562952784062
focu,1,4,6,1,0.7781512503836436,0.1945378125959109
captur,3,4,6,2,0.47712125471966244,0.35784094103974684
"information,",1,4,6,1,0.7781512503836436,0.1945378125959109
use,2,4,6,5,0.07918124604762482,0.03959062302381241
gener,2,4,6,4,0.17609125905568124,0.08804562952784062
represent,1,4,6,1,0.7781512503836436,0.1945378125959109
"documents,",1,4,6,1,0.7781512503836436,0.1945378125959109
neglect,1,4,6,1,0.7781512503836436,0.1945378125959109
word-level,1,4,6,1,0.7781512503836436,0.1945378125959109
modeling.,1,4,6,1,0.7781512503836436,0.1945378125959109
in,1,4,6,6,0.0,0.0
"paper,",1,4,6,4,0.17609125905568124,0.04402281476392031
propos,1,4,6,5,0.07918124604762482,0.019795311511906204
symbol,4,4,6,1,0.7781512503836436,0.7781512503836436
ranker,1,4,6,2,0.47712125471966244,0.11928031367991561
"(sgr),",1,4,6,1,0.7781512503836436,0.1945378125959109
aim,1,4,6,2,0.47712125471966244,0.11928031367991561
take,1,4,6,3,0.3010299956639812,0.0752574989159953
advantag,1,4,6,1,0.7781512503836436,0.1945378125959109
text-bas,1,4,6,1,0.7781512503836436,0.1945378125959109
graph-bas,1,4,6,1,0.7781512503836436,0.1945378125959109
leverag,1,4,6,3,0.3010299956639812,0.0752574989159953
power,1,4,6,3,0.3010299956639812,0.0752574989159953
recent,1,4,6,3,0.3010299956639812,0.0752574989159953
larg,1,4,6,6,0.0,0.0
languag,2,4,6,6,0.0,0.0
(llms).,1,4,6,1,0.7781512503836436,0.1945378125959109
"concretely,",1,4,6,1,0.7781512503836436,0.1945378125959109
first,1,4,6,3,0.3010299956639812,0.0752574989159953
introduc,2,4,6,2,0.47712125471966244,0.23856062735983122
set,2,4,6,3,0.3010299956639812,0.1505149978319906
grammar,1,4,6,1,0.7781512503836436,0.1945378125959109
rule,1,4,6,1,0.7781512503836436,0.1945378125959109
convert,1,4,6,1,0.7781512503836436,0.1945378125959109
text.,1,4,6,1,0.7781512503836436,0.1945378125959109
thi,1,4,6,2,0.47712125471966244,0.11928031367991561
allow,1,4,6,2,0.47712125471966244,0.11928031367991561
integr,1,4,6,2,0.47712125471966244,0.11928031367991561
"history,",1,4,6,1,0.7781512503836436,0.1945378125959109
"process,",1,4,6,2,0.47712125471966244,0.11928031367991561
task,2,4,6,2,0.47712125471966244,0.23856062735983122
instruct,1,4,6,2,0.47712125471966244,0.11928031367991561
seamlessli,1,4,6,1,0.7781512503836436,0.1945378125959109
input,1,4,6,3,0.3010299956639812,0.0752574989159953
llm.,1,4,6,1,0.7781512503836436,0.1945378125959109
"moreover,",1,4,6,1,0.7781512503836436,0.1945378125959109
